Sentence,Language,Structure,Tense
"তারা পাহাড় থেকে সূর্যাস্ত দেখে ঠান্ডা বাতাস উপভোগ করতে করতে, এবং প্রায়ই সঙ্গে খাবার নিয়ে যায় ভাগ করে খাওয়ার জন্য।",Bangla,Compound-complex,Present
"তারা স্কুলের পর যখনই মাঠ খালি থাকে বাস্কেটবল খেলে, এবং একে অপরের সঙ্গে প্রতিযোগিতা উপভোগ করে।",Bangla,Compound-complex,Present
"She closed the door quietly behind her because the baby was sleeping, and she tiptoed away.",English,Compound-complex,Past
"He will read a book, and he will relax before he goes to bed.",English,Compound-complex,Future
"How softly the wind whispers, and how calming its sound is to the soul!",English,Compound,Present
"তুমি কি উপন্যাস পড়তে পছন্দ করো, নাকি অ-কল্পকাহিনী পছন্দ করো?",Bangla,Compound,Present
Did she visit her parents last month?,English,Simple,Past
Remember to breathe deeply when you feel anxious.,English,Complex,Present
সকালের বাতাস কতটা সতেজ গন্ধযুক্ত!,Bangla,Simple,Present
ক্ষেতজুড়ে কত শক্তিশালী বাতাস বইবে!,Bangla,Simple,Future
পরীক্ষার সময় ঘড়ি কত দ্রুত টিক টিক করবে!,Bangla,Simple,Future
"Keep your shoes in the closet, and line them up neatly so the floor stays clear.",English,Compound-complex,Present
সাইকেলের টায়ার ফেটে যাওয়ার পর সে গ্যারেজে বসে সেটি ঠিক করেছিল।,Bangla,Complex,Past
"নদী কত দ্রুত বয়ে চলে, কিন্তু হ্রদ কত শান্ত দেখায়!",Bangla,Compound,Present
সে কী সুন্দর পোশাক পরেছিল!,Bangla,Simple,Past
Help your grandparents when they need assistance.,English,Complex,Present
I wrote an email to my teacher.,English,Simple,Past
"The baby will learn to talk, and she will mimic sounds as she gets older.",English,Compound-complex,Future
Do you write emails at work?,English,Simple,Present
বসন্তকালে ফুল ফুটত।,Bangla,Simple,Past
How hard the workers labored!,English,Simple,Past
তুমি কি রান্না করতে উপভোগ করো?,Bangla,Simple,Present
We watched the sunrise together while drinking hot coffee.,English,Complex,Past
তুমি প্রতিরাতে কী পড়ো?,Bangla,Simple,Present
"সে কি ছবি তোলে, নাকি ক্যামেরা ছাড়া মুহূর্তগুলো উপভোগ করতে পছন্দ করে?",Bangla,Compound,Present
"কী মোলায়েমভাবে ছানাটি ঘুমায় গরম কম্বলের ওপর, আর কী নিঃশব্দে ছোট কুকুরছানাটি পাশে শুয়ে থাকে যেন তারা দুজনেই শান্তিতে বিশ্রাম পায়!",Bangla,Compound-complex,Present
গত সপ্তাহান্তে আমরা আমাদের বার্ষিকী উদযাপন করেছিলাম কারণ এটি একটি বিশেষ দিন ছিল।,Bangla,Complex,Past
"We danced all night at the party, but we felt tired the next day since we stayed up late.",English,Compound-complex,Past
তুমি তোমার তোয়ালে বিছানায় রাখবে না।,Bangla,Simple,Future
তুমি অনুগ্রহ করে কুকুরটিকে ধীরে撫 করো।,Bangla,Simple,Future
"ভেতরে ঢোকার সময় লাইট জ্বালো, এবং বাইরে ঠান্ডা হলে দরজা বন্ধ করো।",Bangla,Compound-complex,Present
"আমার বাবা-মা প্রতিদিন রাতের খাবার রান্না করবেন, আর আমরা সবাই একসাথে খাব।",Bangla,Compound,Future
Share your toys with others.,English,Simple,Present
"সে কি সকালের নাশতা রান্না করে, এবং দুপুরের খাবারও বানায় কারণ মানুষ দুপুরে ক্ষুধার্ত হয়?",Bangla,Compound-complex,Present
"বাচ্চাটি মায়ের গুঁতায় খিলখিল করে হাসে, এবং আশেপাশের সবাইকে দেখে হাসে কারণ সে খুশি থাকে।",Bangla,Compound-complex,Present
